1999,-0.7028367604852359
2000,-0.8354203613239731
2001,-0.6408619777319999
2002,0.4848130962299079
2003,0.19865333348881897
2004,0.21355892427402304
2005,0.848380119607256
2006,0.218139109868833
2007,0.215603258570185
2008,-0.652157970307587
2009,-0.089277543530949
2010,0.825119770667136
2011,0.886241253485113
2012,0.40882839635086105
2013,-0.10353263050083401
2014,-0.621491827472546
2015,-0.8542444445226851
2016,-0.190893660374566
2017,-0.23147270748493304
2018,0.173424749096001
2019,0.35465032010894393
2020,0.0947775519882556
