Year,predict
1952,71.0
1953,60.0
1954,58.0
1955,51.0
1956,58.0
1957,57.0
1958,77.0
1959,63.0
1960,68.0
1961,64.0
1962,89.0
1963,87.0
1964,71.0
1965,74.0
1966,67.0
1967,63.0
1968,72.0
1969,81.0
1970,58.0
1971,68.0
1972,64.0
1973,63.0
1974,74.0
1975,83.0
1976,83.0
1977,71.0
1978,82.0
1979,60.0
1980,73.0
1984,69.0
1985,80.0
1986,98.0
1987,58.0
1989,75.0
1994,61.0
1995,63.0
1996,75.0
1997,64.0
1998,58.0
1999,55.0
2000,69.0
2001,68.0
2002,78.0
2003,75.0
2004,68.0
2005,66.0
2006,62.0
2007,65.0
2008,69.0
2009,67.0
2010,58.0
2011,92.0
2012,64.0
2013,68.0
2014,61.0
2015,84.0
2016,71.0
